Unnamed: 0,Address,Location,Rent,Bed,Bath,Size,Description,Commute,Crime,Income,URL
359,"Sunnydale, San Francisco, CA",46 Calgary St,"$3,100/mo",2bd,1ba,"1,385 sqft","46 Calgary St, San Francisco, CA is a 2 bedroom, 1 bathroom, 1,327 sqft single-family home built in 1954. 46 Calgary St is located in Sunnydale, San Francisco. 46 Calgary St was listed for rent for $3,100/month on Feb 14, 2020.",Commute71% of residents commute by car.,CrimeLowest crime relative to the rest of San Francisco county.,"$111,600 ",https://www.trulia.com/p/ca/san-francisco/46-calgary-st-san-francisco-ca-94134--2083106846
360,"Ponderosa, Sunnyvale, CA",878 E Evelyn Ave,"$3,950/mo",3bd,2ba,"1,455 sqft","878 E Evelyn Ave, Sunnyvale, CA is a 3 bedroom, 2 bathroom, 1,200 sqft single-family home built in 1969. 878 E Evelyn Ave is located in Ponderosa, Sunnyvale. 878 E Evelyn Ave was listed for rent for $3,950/month on Mar 4, 2020. This property is pet friendly.",Commute92% of residents commute by car.,CrimeLowest crime relative to the rest of Santa Clara county.,"$142,200 ",https://www.trulia.com/p/ca/sunnyvale/878-e-evelyn-ave-sunnyvale-ca-94086--2117108487
361,"Ponderosa, Sunnyvale, CA",890 Roble Dr,"$4,500/mo",3bd,2ba,"1,346 sqft","890 Roble Dr, Sunnyvale, CA is a 3 bedroom, 2 bathroom, 1,533 sqft single-family home. 890 Roble Dr is located in Ponderosa, Sunnyvale. 890 Roble Dr was listed for rent for $4,500/month on Mar 12, 2020. This property is pet friendly.",Commute92% of residents commute by car.,CrimeLow crime relative to the rest of Santa Clara county.,"$162,000 ",https://www.trulia.com/p/ca/sunnyvale/890-roble-dr-sunnyvale-ca-94086--2082817289
362,"West Murphy, Sunnyvale, CA",297 W Hendy Ave,"$2,900/mo",2bd,1ba,"1,200 sqft","297 W Hendy Ave, Sunnyvale, CA is a 2 bedroom, 1 bathroom single-family home. 297 W Hendy Ave is located in West Murphy, Sunnyvale. 297 W Hendy Ave was listed for rent for $2,900/month on Mar 13, 2020.",Commute92% of residents commute by car.,CrimeLow crime relative to the rest of Santa Clara county.,"$104,400 ",https://www.trulia.com/p/ca/sunnyvale/297-w-hendy-ave-sunnyvale-ca-94086--2117107215
363,"Lakewood, Sunnyvale, CA",1180 Prescott Ave,"$4,300/mo",3bd,2ba,"1,100 sqft","1180 Prescott Ave, Sunnyvale, CA is a 3 bedroom, 2 bathroom, 1,450 sqft single-family home built in 1958. 1180 Prescott Ave is located in Lakewood, Sunnyvale. 1180 Prescott Ave was listed for rent for $4,300/month on Mar 6, 2020. This property is pet friendly.",Commute96% of residents commute by car.,CrimeLowest crime relative to the rest of Santa Clara county.,"$154,800 ",https://www.trulia.com/p/ca/sunnyvale/1180-prescott-ave-sunnyvale-ca-94089--1004217608
364,"Lakewood, Sunnyvale, CA",1085 Essex Ave,"$4,000/mo",3bd,2ba,"1,488 sqft","1085 Essex Ave, Sunnyvale, CA is a 3 bedroom, 2 bathroom, 1,300 sqft single-family home built in 1953. 1085 Essex Ave is located in Lakewood, Sunnyvale. 1085 Essex Ave was listed for rent for $4,000/month on Mar 13, 2020.",Commute96% of residents commute by car.,CrimeLowest crime relative to the rest of Santa Clara county.,"$144,000 ",https://www.trulia.com/p/ca/sunnyvale/1085-essex-ave-sunnyvale-ca-94089--2082831982
365,"Washington, Sunnyvale, CA",Address Not Disclosed,"$3,500/mo",2bd,1ba,"2,055 sqft","This home in Sunnyvale, CA is a 2 bedroom, 1 bathroom, 891 sqft single-family home built in 1925. This home is located in Washington, Sunnyvale. This property was listed for rent for $3,500/month on Mar 5, 2020.",Commute92% of residents commute by car.,CrimeLowest crime relative to the rest of Santa Clara county.,"$126,000 ",https://www.trulia.com/p/ca/sunnyvale/address-not-disclosed-sunnyvale-ca-94086--1011375931
366,"West Murphy, Sunnyvale, CA",693 Manzanita Ave,"$4,150/mo",3bd,2ba,"1,144 sqft","693 Manzanita Ave, Sunnyvale, CA is a 3 bedroom, 2 bathroom, 1,526 sqft single-family home built in 1953. 693 Manzanita Ave is located in West Murphy, Sunnyvale. 693 Manzanita Ave was listed for rent for $4,150/month on Mar 10, 2020.",Commute91% of residents commute by car.,CrimeLowest crime relative to the rest of Santa Clara county.,"$149,400 ",https://www.trulia.com/p/ca/sunnyvale/693-manzanita-ave-sunnyvale-ca-94085--2082810750
367,"West Murphy, Sunnyvale, CA",355 N Murphy Ave,"$3,295/mo",2bd,1ba,"1,080 sqft","355 N Murphy Ave, Sunnyvale, CA is a 2 bedroom, 1 bathroom, 800 sqft single-family home built in 1942. 355 N Murphy Ave is located in West Murphy, Sunnyvale. 355 N Murphy Ave was listed for rent for $3,295/month on Mar 12, 2020. This property is pet friendly.",Commute91% of residents commute by car.,CrimeLowest crime relative to the rest of Santa Clara county.,"$118,620 ",https://www.trulia.com/p/ca/sunnyvale/355-n-murphy-ave-sunnyvale-ca-94085--2117105230
368,"De Anza, Sunnyvale, CA",551 Dawn Dr,"$4,850/mo",3bd,2ba,875 sqft,"551 Dawn Dr, Sunnyvale, CA is a 3 bedroom, 2 bathroom, 1,385 sqft single-family home built in 1949. 551 Dawn Dr is located in De Anza, Sunnyvale. 551 Dawn Dr was listed for rent for $4,850/month on Mar 11, 2020.",Commute94% of residents commute by car.,CrimeLowest crime relative to the rest of Santa Clara county.,"$174,600 ",https://www.trulia.com/p/ca/sunnyvale/551-dawn-dr-sunnyvale-ca-94087--2082827134
369,"De Anza, Sunnyvale, CA",835 Hollenbeck Ave,"$5,250/mo",3bd,2ba,"1,428 sqft","835 Hollenbeck Ave, Sunnyvale, CA is a 3 bedroom, 2 bathroom, 1,455 sqft single-family home built in 1963. 835 Hollenbeck Ave is located in De Anza, Sunnyvale. 835 Hollenbeck Ave was listed for rent for $5,250/month on Mar 5, 2020.",Commute94% of residents commute by car.,CrimeLowest crime relative to the rest of Santa Clara county.,"$189,000 ",https://www.trulia.com/p/ca/sunnyvale/835-hollenbeck-ave-sunnyvale-ca-94087--2082829782
370,"Ponderosa, Sunnyvale, CA",936 Planetree Pl,"$3,650/mo",3bd,2ba,"2,291 sqft","936 Planetree Pl, Sunnyvale, CA is a 3 bedroom, 2 bathroom, 1,346 sqft single-family home built in 1962. 936 Planetree Pl is located in Ponderosa, Sunnyvale. 936 Planetree Pl was listed for rent for $3,650/month on Mar 4, 2020.",Commute92% of residents commute by car.,CrimeLowest crime relative to the rest of Santa Clara county.,"$131,400 ",https://www.trulia.com/p/ca/sunnyvale/936-planetree-pl-sunnyvale-ca-94086--2082817778
371,"Lakewood, Sunnyvale, CA",1133 Prescott Ave,"$4,950/mo",3bd,2ba,"1,650 sqft","1133 Prescott Ave, Sunnyvale, CA is a 3 bedroom, 2 bathroom, 1,200 sqft single-family home built in 1958. 1133 Prescott Ave is located in Lakewood, Sunnyvale. 1133 Prescott Ave was listed for rent for $4,950/month on Mar 8, 2020. This property is pet friendly.",Commute96% of residents commute by car.,CrimeLow crime relative to the rest of Santa Clara county.,"$178,200 ",https://www.trulia.com/p/ca/sunnyvale/1133-prescott-ave-sunnyvale-ca-94089--2082832317/rent
372,"Washington, Sunnyvale, CA",575 S Frances St,"$3,495/mo",2bd,2ba,"1,250 sqft","575 S Frances St, Sunnyvale, CA is a 2 bedroom, 2 bathroom, 1,100 sqft single-family home built in 1932. 575 S Frances St is located in Washington, Sunnyvale. 575 S Frances St was listed for rent for $3,495/month on Mar 9, 2020.",Commute92% of residents commute by car.,CrimeLow crime relative to the rest of Santa Clara county.,"$125,820 ",https://www.trulia.com/p/ca/sunnyvale/575-s-frances-st-sunnyvale-ca-94086--2117107999
373,"Ortega, Sunnyvale, CA",1693 Heron Ave,"$3,995/mo",3bd,2.5ba,"1,892 sqft","1693 Heron Ave, Sunnyvale, CA is a 3 bedroom, 2.5 bathroom, 1,488 sqft single-family home built in 1980. 1693 Heron Ave is located in Ortega, Sunnyvale. 1693 Heron Ave was listed for rent for $3,995/month on Mar 11, 2020.",Commute94% of residents commute by car.,CrimeLowest crime relative to the rest of Santa Clara county.,"$143,820 ",https://www.trulia.com/p/ca/sunnyvale/1693-heron-ave-sunnyvale-ca-94087--2082826175
374,"Ponderosa, Sunnyvale, CA",Address Not Disclosed,"$5,495/mo",3bd,2.5ba,"1,421 sqft","This home in Sunnyvale, CA is a 3 bedroom, 2.5 bathroom, 2,055 sqft single-family home. This home is located in Ponderosa, Sunnyvale. This property was listed for rent for $5,495/month on Mar 6, 2020.",Commute92% of residents commute by car.,CrimeLowest crime relative to the rest of Santa Clara county.,"$197,820 ",https://www.trulia.com/p/ca/sunnyvale/address-not-disclosed-sunnyvale-ca-94086--2450188872
375,"Washington, Sunnyvale, CA",949 Sutter Ave,"$5,300/mo",3bd,2ba,600 sqft,"949 Sutter Ave, Sunnyvale, CA is a 3 bedroom, 2 bathroom, 1,144 sqft single-family home built in 1954. 949 Sutter Ave is located in Washington, Sunnyvale. 949 Sutter Ave was listed for rent for $5,300/month on Mar 10, 2020. This property is pet friendly.",Commute92% of residents commute by car.,CrimeLowest crime relative to the rest of Santa Clara county.,"$190,800 ",https://www.trulia.com/p/ca/sunnyvale/949-sutter-ave-sunnyvale-ca-94086--2082817939
376,"Lakewood, Sunnyvale, CA",263 Velvetlake Dr,"$4,200/mo",3bd,2ba,"1,096 sqft","263 Velvetlake Dr, Sunnyvale, CA is a 3 bedroom, 2 bathroom, 1,080 sqft single-family home built in 1957. 263 Velvetlake Dr is located in Lakewood, Sunnyvale. 263 Velvetlake Dr was listed for rent for $4,200/month on Mar 12, 2020.",Commute96% of residents commute by car.,CrimeLow crime relative to the rest of Santa Clara county.,"$151,200 ",https://www.trulia.com/p/ca/sunnyvale/263-velvetlake-dr-sunnyvale-ca-94089--1011271652
377,"Ortega, Sunnyvale, CA",103 Brahms Way,"$3,700/mo",2bd,1ba,750 sqft,"103 Brahms Way, Sunnyvale, CA is a 2 bedroom, 1 bathroom, 875 sqft single-family home built in 1973. 103 Brahms Way is located in Ortega, Sunnyvale. 103 Brahms Way was listed for rent for $3,700/month on Mar 5, 2020. This property is pet friendly.",Commute94% of residents commute by car.,CrimeLow crime relative to the rest of Santa Clara county.,"$133,200 ",https://www.trulia.com/p/ca/sunnyvale/103-brahms-way-sunnyvale-ca-94087--2082819321
378,"Ponderosa, Sunnyvale, CA",952 Bellomo Ave,"$4,000/mo",2bd,2ba,"1,425 sqft","952 Bellomo Ave, Sunnyvale, CA is a 2 bedroom, 2 bathroom, 1,428 sqft single-family home built in 1982. 952 Bellomo Ave is located in Ponderosa, Sunnyvale. 952 Bellomo Ave was listed for rent for $4,000/month on Mar 12, 2020.",Commute92% of residents commute by car.,CrimeLowest crime relative to the rest of Santa Clara county.,"$144,000 ",https://www.trulia.com/p/ca/sunnyvale/952-bellomo-ave-sunnyvale-ca-94086--1039521340
379,"De Anza, Sunnyvale, CA",1142 Pimento Ave,"$4,900/mo",4bd,2ba,"1,150 sqft","1142 Pimento Ave, Sunnyvale, CA is a 4 bedroom, 2 bathroom, 2,291 sqft single-family home built in 1958. 1142 Pimento Ave is located in De Anza, Sunnyvale. 1142 Pimento Ave was listed for rent for $4,900/month on Mar 3, 2020.",Commute94% of residents commute by car.,CrimeLowest crime relative to the rest of Santa Clara county.,"$176,400 ",https://www.trulia.com/p/ca/sunnyvale/1142-pimento-ave-sunnyvale-ca-94087--1060530080
380,"De Anza, Sunnyvale, CA",890 W Remington Dr,"$5,850/mo",3bd,2ba,"1,110 sqft","890 W Remington Dr, Sunnyvale, CA is a 3 bedroom, 2 bathroom, 1,650 sqft single-family home built in 1957. 890 W Remington Dr is located in De Anza, Sunnyvale. 890 W Remington Dr was listed for rent for $5,850/month on Mar 8, 2020.",Commute94% of residents commute by car.,CrimeLowest crime relative to the rest of Santa Clara county.,"$210,600 ",https://www.trulia.com/p/ca/sunnyvale/890-w-remington-dr-sunnyvale-ca-94087--1010214772
381,"Ponderosa, Sunnyvale, CA",959 Henderson Ave,"$4,800/mo",4bd,2ba,"1,200 sqft","959 Henderson Ave, Sunnyvale, CA is a 4 bedroom, 2 bathroom, 1,250 sqft single-family home built in 1967. 959 Henderson Ave is located in Ponderosa, Sunnyvale. 959 Henderson Ave was listed for rent for $4,800/month on Mar 13, 2020. This property is pet friendly.",Commute92% of residents commute by car.,CrimeLowest crime relative to the rest of Santa Clara county.,"$172,800 ",https://www.trulia.com/p/ca/sunnyvale/959-henderson-ave-sunnyvale-ca-94086--2082818022
382,"Raynor, Sunnyvale, CA",1505 Meadowlark Ln,"$5,500/mo",4bd,2.5ba,"1,533 sqft","1505 Meadowlark Ln, Sunnyvale, CA is a 4 bedroom, 2.5 bathroom, 1,892 sqft single-family home built in 1967. 1505 Meadowlark Ln is located in Raynor, Sunnyvale. 1505 Meadowlark Ln was listed for rent for $5,500/month on Mar 7, 2020.",Commute94% of residents commute by car.,CrimeLowest crime relative to the rest of Santa Clara county.,"$198,000 ",https://www.trulia.com/p/ca/sunnyvale/1505-meadowlark-ln-sunnyvale-ca-94087--2082824061
383,"Raynor, Sunnyvale, CA",Address Not Disclosed,"$7,500/mo",4bd,2ba,"1,450 sqft","This home in Sunnyvale, CA is a 4 bedroom, 2 bathroom, 1,421 sqft single-family home built in 1958. This home is located in Raynor, Sunnyvale. This property was listed for rent for $7,500/month on Jan 30, 2020.",Commute94% of residents commute by car.,CrimeLowest crime relative to the rest of Santa Clara county.,"$270,000 ",https://www.trulia.com/p/ca/sunnyvale/address-not-disclosed-sunnyvale-ca-94087--2082819328
384,"Lakewood, Sunnyvale, CA",Address Not Disclosed,"$4,900/mo",1bd,1ba,"1,300 sqft","This home in Sunnyvale, CA is a 1 bedroom, 1 bathroom, 600 sqft single-family home. This home is located in Lakewood, Sunnyvale. This property was listed for rent for $4,900/month on Aug 24, 2019.",Commute96% of residents commute by car.,CrimeLow crime relative to the rest of Santa Clara county.,"$176,400 ",https://www.trulia.com/p/ca/sunnyvale/address-not-disclosed-sunnyvale-ca-94089--1043356080
385,"Washington, Sunnyvale, CA",Address Not Disclosed,"$5,700/mo",2bd,2ba,891 sqft,"This home in Sunnyvale, CA is a 2 bedroom, 2 bathroom, 1,096 sqft single-family home. This home is located in Washington, Sunnyvale. This property was listed for rent for $5,700/month on Jan 20, 2020.",Commute92% of residents commute by car.,CrimeLow crime relative to the rest of Santa Clara county.,"$205,200 ",https://www.trulia.com/p/ca/sunnyvale/address-not-disclosed-sunnyvale-ca-94086--1042556783
386,"Lakewood, Sunnyvale, CA",Address Not Disclosed,"$5,460/mo",1bd,1ba,"1,526 sqft","This home in Sunnyvale, CA is a 1 bedroom, 1 bathroom, 750 sqft single-family home. This home is located in Lakewood, Sunnyvale. This property was listed for rent for $5,460/month on Jan 21, 2020.",Commute96% of residents commute by car.,CrimeLowest crime relative to the rest of Santa Clara county.,"$196,560 ",https://www.trulia.com/p/ca/sunnyvale/address-not-disclosed-sunnyvale-ca-94089--2082834310
387,"Washington, Sunnyvale, CA",Address Not Disclosed,"$4,500/mo",3bd,2.5ba,800 sqft,"This home in Sunnyvale, CA is a 3 bedroom, 2.5 bathroom, 1,425 sqft single-family home built in 1994. This home is located in Washington, Sunnyvale. This property was listed for rent for $4,500/month on Mar 2, 2020. This property is pet friendly.",Commute92% of residents commute by car.,CrimeLowest crime relative to the rest of Santa Clara county.,"$162,000 ",https://www.trulia.com/p/ca/sunnyvale/address-not-disclosed-sunnyvale-ca-94086--2082814366
388,"West Murphy, Sunnyvale, CA",Address Not Disclosed,"$3,600/mo",3bd,1.5ba,"1,385 sqft","This home in Sunnyvale, CA is a 3 bedroom, 1.5 bathroom, 1,150 sqft single-family home built in 1949. This home is located in West Murphy, Sunnyvale. This property was listed for rent for $3,600/month on Mar 3, 2020.",Commute91% of residents commute by car.,CrimeLow crime relative to the rest of Santa Clara county.,"$129,600 ",https://www.trulia.com/p/ca/sunnyvale/address-not-disclosed-sunnyvale-ca-94085--2082808833
389,"Ortega, Sunnyvale, CA",1087 Greco Ave,"$4,100/mo",3bd,2ba,"1,455 sqft","1087 Greco Ave, Sunnyvale, CA is a 3 bedroom, 2 bathroom, 1,110 sqft single-family home built in 1950. 1087 Greco Ave is located in Ortega, Sunnyvale. 1087 Greco Ave was listed for rent for $4,100/month on Dec 5, 2019.",Commute94% of residents commute by car.,CrimeLowest crime relative to the rest of Santa Clara county.,"$147,600 ",https://www.trulia.com/p/ca/sunnyvale/1087-greco-ave-sunnyvale-ca-94087--2082819951
390,"De Anza, Sunnyvale, CA",1070 Lois Ave,"$4,200/mo",3bd,2ba,"1,346 sqft","1070 Lois Ave, Sunnyvale, CA is a 3 bedroom, 2 bathroom, 1,394 sqft single-family home built in 1953. 1070 Lois Ave is located in De Anza, Sunnyvale. 1070 Lois Ave was listed for rent for $4,200/month on Feb 27, 2020.",Commute94% of residents commute by car.,CrimeLowest crime relative to the rest of Santa Clara county.,"$151,200 ",https://www.trulia.com/p/ca/sunnyvale/1070-lois-ave-sunnyvale-ca-94087--2082819711
391,"Lakewood, Sunnyvale, CA",1081 Colton Ave,"$3,800/mo",3bd,1ba,"1,200 sqft","1081 Colton Ave, Sunnyvale, CA is a 3 bedroom, 1 bathroom, 1,140 sqft single-family home built in 1954. 1081 Colton Ave is located in Lakewood, Sunnyvale. 1081 Colton Ave was listed for rent for $3,800/month on Jan 3, 2020. This property is pet friendly.",Commute96% of residents commute by car.,CrimeLowest crime relative to the rest of Santa Clara county.,"$136,800 ",https://www.trulia.com/p/ca/sunnyvale/1081-colton-ave-sunnyvale-ca-94089--2082831967
392,"West Murphy, Sunnyvale, CA",Address Not Disclosed,"$4,000/mo",3bd,1ba,"1,100 sqft","This home in Sunnyvale, CA is a 3 bedroom, 1 bathroom, 1,119 sqft single-family home built in 1948. This home is located in West Murphy, Sunnyvale. This property was listed for rent for $4,000/month on Feb 22, 2020. This property is pet friendly.",Commute91% of residents commute by car.,CrimeLowest crime relative to the rest of Santa Clara county.,"$144,000 ",https://www.trulia.com/p/ca/sunnyvale/address-not-disclosed-sunnyvale-ca-94085--2082808770
393,"Ortega, Sunnyvale, CA",1659 Martin Ave,"$4,250/mo",4bd,2ba,"1,488 sqft","1659 Martin Ave, Sunnyvale, CA is a 4 bedroom, 2 bathroom, 1,425 sqft single-family home built in 1959. 1659 Martin Ave is located in Ortega, Sunnyvale. 1659 Martin Ave was listed for rent for $4,250/month on Jan 25, 2020.",Commute94% of residents commute by car.,CrimeLow crime relative to the rest of Santa Clara county.,"$153,000 ",https://www.trulia.com/p/ca/sunnyvale/1659-martin-ave-sunnyvale-ca-94087--2082825859
394,"Raynor, Sunnyvale, CA",1599 Waxwing Ave,"$4,500/mo",3bd,2ba,"2,055 sqft","1599 Waxwing Ave, Sunnyvale, CA is a 3 bedroom, 2 bathroom, 1,448 sqft single-family home built in 1955. 1599 Waxwing Ave is located in Raynor, Sunnyvale. 1599 Waxwing Ave was listed for rent for $4,500/month on Feb 19, 2020.",Commute94% of residents commute by car.,CrimeLowest crime relative to the rest of Santa Clara county.,"$162,000 ",https://www.trulia.com/p/ca/sunnyvale/1599-waxwing-ave-sunnyvale-ca-94087--2082825133
395,"De Anza, Sunnyvale, CA",749 Grape Ave,"$4,595/mo",3bd,2ba,"1,144 sqft","749 Grape Ave, Sunnyvale, CA is a 3 bedroom, 2 bathroom, 1,272 sqft single-family home built in 1956. 749 Grape Ave is located in De Anza, Sunnyvale. 749 Grape Ave was listed for rent for $4,595/month on Feb 28, 2020.",Commute94% of residents commute by car.,CrimeLowest crime relative to the rest of Santa Clara county.,"$165,420 ",https://www.trulia.com/p/ca/sunnyvale/749-grape-ave-sunnyvale-ca-94087--1013095621
396,"Washington, Sunnyvale, CA",Address Not Disclosed,"$6,200/mo",4bd,2ba,"1,080 sqft","This home in Sunnyvale, CA is a 4 bedroom, 2 bathroom, 1,258 sqft single-family home built in 1958. This home is located in Washington, Sunnyvale. This property was listed for rent for $6,200/month on Jan 15, 2020.",Commute92% of residents commute by car.,CrimeLowest crime relative to the rest of Santa Clara county.,"$223,200 ",https://www.trulia.com/p/ca/sunnyvale/address-not-disclosed-sunnyvale-ca-94086--2117106502
397,"West Murphy, Sunnyvale, CA",579 Cypress Ave,"$3,495/mo",3bd,1ba,875 sqft,"579 Cypress Ave, Sunnyvale, CA is a 3 bedroom, 1 bathroom, 1,009 sqft single-family home built in 1952. 579 Cypress Ave is located in West Murphy, Sunnyvale. 579 Cypress Ave was listed for rent for $3,495/month on Feb 20, 2020. This property is pet friendly.",Commute91% of residents commute by car.,CrimeLowest crime relative to the rest of Santa Clara county.,"$125,820 ",https://www.trulia.com/p/ca/sunnyvale/579-cypress-ave-sunnyvale-ca-94085--1046135530
398,"Serra, Sunnyvale, CA",575 Chiloquin Ct,"$5,300/mo",3bd,2ba,"1,428 sqft","575 Chiloquin Ct, Sunnyvale, CA is a 3 bedroom, 2 bathroom, 1,942 sqft single-family home built in 1966. 575 Chiloquin Ct is located in Serra, Sunnyvale. 575 Chiloquin Ct was listed for rent for $5,300/month on Feb 22, 2020.",Commute94% of residents commute by car.,CrimeLowest crime relative to the rest of Santa Clara county.,"$190,800 ",https://www.trulia.com/p/ca/sunnyvale/575-chiloquin-ct-sunnyvale-ca-94087--2082827376
399,"Lakewood, Sunnyvale, CA",Address Not Disclosed,"$3,299/mo",2bd,2ba,"2,291 sqft","This home in Sunnyvale, CA is a 2 bedroom, 2 bathroom, 700 sqft single-family home built in 1957. This home is located in Lakewood, Sunnyvale. This property was listed for rent for $3,299/month on Feb 14, 2020.",Commute96% of residents commute by car.,CrimeLowest crime relative to the rest of Santa Clara county.,"$118,764 ",https://www.trulia.com/p/ca/sunnyvale/address-not-disclosed-sunnyvale-ca-94089--2082834347
400,"West Murphy, Sunnyvale, CA",238 Jackson St,"$4,195/mo",3bd,2ba,"1,650 sqft","238 Jackson St, Sunnyvale, CA is a 3 bedroom, 2 bathroom, 1,322 sqft single-family home built in 1940. 238 Jackson St is located in West Murphy, Sunnyvale. 238 Jackson St was listed for rent for $4,195/month on Mar 3, 2020.",Commute92% of residents commute by car.,CrimeLowest crime relative to the rest of Santa Clara county.,"$151,020 ",https://www.trulia.com/p/ca/sunnyvale/238-jackson-st-sunnyvale-ca-94086--2082814140
401,"West Murphy, Sunnyvale, CA",Address Not Disclosed,"$3,375/mo",2bd,2ba,"1,250 sqft","This home in Sunnyvale, CA is a 2 bedroom, 2 bathroom, 1,769 sqft single-family home built in 1956. This home is located in West Murphy, Sunnyvale. This property was listed for rent for $3,375/month on Dec 29, 2019. This property is pet friendly.",Commute92% of residents commute by car.,CrimeLowest crime relative to the rest of Santa Clara county.,"$121,500 ",https://www.trulia.com/p/ca/sunnyvale/address-not-disclosed-sunnyvale-ca-94086--2117106889
402,"Ortega, Sunnyvale, CA",840 Duncardine Way,"$4,300/mo",3bd,2ba,"1,892 sqft","840 Duncardine Way, Sunnyvale, CA is a 3 bedroom, 2 bathroom, 1,328 sqft single-family home built in 1961. 840 Duncardine Way is located in Ortega, Sunnyvale. 840 Duncardine Way was listed for rent for $4,300/month on Feb 18, 2020.",Commute94% of residents commute by car.,CrimeLowest crime relative to the rest of Santa Clara county.,"$154,800 ",https://www.trulia.com/p/ca/sunnyvale/840-duncardine-way-sunnyvale-ca-94087--1065165232
403,"Raynor, Sunnyvale, CA",1567 Oriole Ave,"$4,595/mo",3bd,2ba,"1,421 sqft","1567 Oriole Ave, Sunnyvale, CA is a 3 bedroom, 2 bathroom, 1,300 sqft single-family home built in 1962. 1567 Oriole Ave is located in Raynor, Sunnyvale. 1567 Oriole Ave was listed for rent for $4,595/month on Mar 2, 2020.",Commute94% of residents commute by car.,CrimeLowest crime relative to the rest of Santa Clara county.,"$165,420 ",https://www.trulia.com/p/ca/sunnyvale/1567-oriole-ave-sunnyvale-ca-94087--2082824777
404,"Raynor, Sunnyvale, CA",934 Eton Way,"$4,500/mo",3bd,2ba,600 sqft,"934 Eton Way, Sunnyvale, CA is a 3 bedroom, 2 bathroom, 1,648 sqft single-family home built in 1966. 934 Eton Way is located in Raynor, Sunnyvale. 934 Eton Way was listed for rent for $4,500/month on Mar 2, 2020.",Commute94% of residents commute by car.,CrimeLowest crime relative to the rest of Santa Clara county.,"$162,000 ",https://www.trulia.com/p/ca/sunnyvale/934-eton-way-sunnyvale-ca-94087--2082830978
405,"Ponderosa, Sunnyvale, CA",Address Not Disclosed,"$3,595/mo",2bd,2ba,750 sqft,"This home in Sunnyvale, CA is a 2 bedroom, 2 bathroom, 900 sqft single-family home built in 1969. This home is located in Ponderosa, Sunnyvale. This property was listed for rent for $3,595/month on Feb 12, 2020. This property is pet friendly.",Commute92% of residents commute by car.,CrimeLowest crime relative to the rest of Santa Clara county.,"$129,420 ",https://www.trulia.com/p/ca/sunnyvale/address-not-disclosed-sunnyvale-ca-94086--2082816198/rent
406,"Serra, Sunnyvale, CA",673 Alberta Ave,"$3,380/mo",2bd,2ba,"1,096 sqft","673 Alberta Ave, Sunnyvale, CA is a 2 bedroom, 2 bathroom, 1,100 sqft single-family home. 673 Alberta Ave is located in Serra, Sunnyvale. 673 Alberta Ave was listed for rent for $3,380/month on Feb 20, 2020.",Commute94% of residents commute by car.,CrimeLowest crime relative to the rest of Santa Clara county.,"$121,680 ",https://www.trulia.com/p/ca/sunnyvale/673-alberta-ave-sunnyvale-ca-94087--2082828015
407,"De Anza, Sunnyvale, CA",545 Hyannis Dr,"$7,500/mo",4bd,3ba,"1,425 sqft","545 Hyannis Dr, Sunnyvale, CA is a 4 bedroom, 3 bathroom, 2,639 sqft single-family home built in 2001. 545 Hyannis Dr is located in De Anza, Sunnyvale. 545 Hyannis Dr was listed for rent for $7,500/month on Jan 16, 2020.",Commute94% of residents commute by car.,CrimeLowest crime relative to the rest of Santa Clara county.,"$270,000 ",https://www.trulia.com/p/ca/sunnyvale/545-hyannis-dr-sunnyvale-ca-94087--1028014235
408,"Washington, Sunnyvale, CA",462 E East,"$6,550/mo",3bd,2ba,"1,150 sqft","462 E East, Sunnyvale, CA is a 3 bedroom, 2 bathroom, 1,714 sqft single-family home built in 1943. 462 E East is located in Washington, Sunnyvale. 462 E East was listed for rent for $6,550/month on Mar 2, 2020.",Commute92% of residents commute by car.,CrimeLowest crime relative to the rest of the area.,"$235,800 ",https://www.trulia.com/p/ca/sunnyvale/462-e-east-sunnyvale-ca-94086--2449447896
409,"Ponderosa, Sunnyvale, CA",878 E Evelyn Ave,"$3,950/mo",3bd,2ba,"1,110 sqft","878 E Evelyn Ave, Sunnyvale, CA is a 3 bedroom, 2 bathroom, 1,200 sqft single-family home built in 1969. 878 E Evelyn Ave is located in Ponderosa, Sunnyvale. 878 E Evelyn Ave was listed for rent for $3,950/month on Mar 4, 2020. This property is pet friendly.",Commute92% of residents commute by car.,CrimeLowest crime relative to the rest of Santa Clara county.,"$142,200 ",https://www.trulia.com/p/ca/sunnyvale/878-e-evelyn-ave-sunnyvale-ca-94086--2117108487
410,"Ponderosa, Sunnyvale, CA",890 Roble Dr,"$4,500/mo",3bd,2ba,665 sqft,"890 Roble Dr, Sunnyvale, CA is a 3 bedroom, 2 bathroom, 1,533 sqft single-family home. 890 Roble Dr is located in Ponderosa, Sunnyvale. 890 Roble Dr was listed for rent for $4,500/month on Mar 12, 2020. This property is pet friendly.",Commute92% of residents commute by car.,CrimeLow crime relative to the rest of Santa Clara county.,"$162,000 ",https://www.trulia.com/p/ca/sunnyvale/890-roble-dr-sunnyvale-ca-94086--2082817289
